epoch,step,train_loss_epoch,train_loss_step,val_accuracy,val_f1_weighted,val_loss,val_precision,val_recall
0,49,,1.0562864542007446,,,,,
0,99,,0.4402381479740143,,,,,
0,105,,,0.8140496015548706,0.8123860955238342,0.4937609136104584,0.8144829869270325,0.8140496015548706
0,105,0.8787060379981995,,,,,,
1,149,,0.3552818298339844,,,,,
1,199,,0.30577442049980164,,,,,
1,211,,,0.852617084980011,0.8528319597244263,0.3424927890300751,0.8530997633934021,0.852617084980011
1,211,0.33858609199523926,,,,,,
2,249,,0.37980222702026367,,,,,
2,299,,0.1765657663345337,,,,,
2,317,,,0.8484848737716675,0.8495341539382935,0.3494499921798706,0.8530288934707642,0.8484848737716675
2,317,0.23780182003974915,,,,,,
3,349,,0.09803227335214615,,,,,
3,399,,0.1803368330001831,,,,,
3,423,,,0.8677685856819153,0.8674257397651672,0.33200979232788086,0.8673432469367981,0.8677685856819153
3,423,0.181698739528656,,,,,,
4,449,,0.1661350131034851,,,,,
4,499,,0.21001991629600525,,,,,
4,529,,,0.8650137782096863,0.8648744225502014,0.33554089069366455,0.8648380637168884,0.8650137782096863
4,529,0.1449085921049118,,,,,,
